test_lect,test_mate,test_soc,test_nat,privateHS,wage,male,momschooling2,momschooling3,momschooling_miss,dadschooling2,dadschooling3,dadschooling_miss,broken_home1,broken_home_miss,incomehh2,incomehh3,incomehh_miss,north,center,share_private,avg_price
-1.692686,-1.035432,-1.96622,-1.75412,0,7.886438,1,0,0,1,0,0,1,1,0,0,0,1,1,0,.5,.12517746
-.9315383,-1.324083,.5912373,-.7213805,0,8.8985043,1,1,0,0,1,0,0,0,1,0,0,1,0,1,.7391304,.18860212
.1926886,-.0665349,-.6995858,-.3883351,1,8.820838,1,1,0,0,1,0,0,0,0,1,0,0,0,1,.8,.18182649
1.113783,.1015779,1.240147,.0375225,0,8.5550154,0,1,0,0,1,0,0,0,1,0,0,1,0,1,.7090909,.25402301
-.0594277,-.7741681,-.4806837,-.6973773,1,8.5406629,1,1,0,0,0,0,0,0,0,1,0,0,0,1,.8,.18182649
.3286439,.1713416,.7667588,.3339626,1,5.8030778,0,1,0,0,0,0,0,0,0,0,1,0,0,1,.8571429,.19925352
-1.116277,-1.05962,-.5830379,-.812393,0,8.3180153,1,0,0,0,0,0,0,0,0,1,0,0,0,1,.6,.33908745
.6547356,.6560901,2.136947,1.018256,1,7.2733368,1,0,0,0,1,0,0,0,0,1,0,0,1,0,.7142857,.37761201
1.00462,.7250546,1.433461,.9466459,1,9.3429173,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,.04056966
1.584827,.7000676,1.449854,1.742354,0,9.4057672,0,0,0,0,0,0,0,1,0,0,0,0,0,1,.7777778,.11880343
-.0508304,.7490418,.055077,-.6491707,1,9.9000663,0,0,0,0,0,0,0,1,0,1,0,0,0,1,.625,.08451056
-.0478315,-.4567326,.0160942,.8434318,1,8.969753,1,1,0,0,1,0,0,0,0,0,1,0,0,0,.4615385,.29920655
-.9163434,-.2292505,-1.318509,-1.646106,1,8.3384868,1,0,0,0,0,0,0,0,0,1,0,0,0,1,.8333333,.21990443
.9478385,1.095862,1.160383,1.448114,1,8.4071574,1,0,1,0,0,0,0,1,0,1,0,0,0,0,.6,.211627
.5701635,.1077747,.5880386,1.264289,0,8.9240536,0,1,0,0,1,0,0,0,0,0,1,0,0,0,.5,.14724462
-1.645102,-.4197517,.1112519,.0953304,0,6.5528773,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.7391304,.21390388
1.142774,.1001785,.5954352,.3785689,0,9.0186622,1,0,0,0,1,0,0,1,0,1,0,0,0,0,.5333334,.32381934
1.506253,1.271371,2.281282,1.967585,1,7.8045618,0,0,1,0,0,1,0,0,0,0,1,0,0,1,.6666667,.05298273
